lda1,lda2,region_name,geography_name,geography_code,region_code
-3.7245252007068017,6.756571693133618,East,Uttlesford,E07000077,E12000006
-3.50862749287909,6.021555409768155,East,Broxbourne,E07000095,E12000006
-2.7909856471045646,7.989869954715778,East,Dacorum,E07000096,E12000006
-3.3404172757192923,7.230225477690928,East,Hertsmere,E07000098,E12000006
-2.6835479524427064,7.558854457552326,East,North Hertfordshire,E07000099,E12000006
-2.3408199226391364,5.901999312814159,East,Three Rivers,E07000102,E12000006
-3.205307168558992,6.791852679812496,East,Watford,E07000103,E12000006
-2.679992953951272,7.25193630131185,East,Breckland,E07000143,E12000006
-2.6776048974661717,9.39948744342497,East,Broadland,E07000144,E12000006
-1.864914373787018,6.729072095058599,East,Great Yarmouth,E07000145,E12000006
-3.3796594601881456,7.321514339362472,East,King's Lynn and West Norfolk,E07000146,E12000006
-6.445592218954602,7.231176631325877,East,North Norfolk,E07000147,E12000006
-4.124955044392456,6.215622333931598,East,Norwich,E07000148,E12000006
-2.44497473898841,4.987419940210866,East,South Norfolk,E07000149,E12000006
-3.0503127638456577,5.616840181136567,East,Babergh,E07000200,E12000006
-2.6744156934106837,7.766530116876094,East,Forest Heath,E07000201,E12000006
-2.136768711967102,7.113917446903037,East,Ipswich,E07000202,E12000006
-3.0944666753331713,6.350162975007377,East,Mid Suffolk,E07000203,E12000006
-2.672472105413778,6.389118265883838,East,St Edmundsbury,E07000204,E12000006
-4.586893475054613,7.037230817770007,East,Suffolk Coastal,E07000205,E12000006
-3.266005356191103,7.267770560564015,East,Waveney,E07000206,E12000006
25.06848446361897,-0.9747567609646098,London,Camden,E09000007,E12000007
17.240311532308414,-1.593859250532339,London,City of London,E09000001,E12000007
24.799709229559692,-0.8688083991140154,London,Hackney,E09000012,E12000007
24.163926158324827,-0.8271046770801558,London,Hammersmith and Fulham,E09000013,E12000007
24.74401573499719,-1.409808823574521,London,Haringey,E09000014,E12000007
23.737155834858203,-1.1945065623887259,London,Islington,E09000019,E12000007
24.511384421960635,-0.768532062199983,London,Kensington and Chelsea,E09000020,E12000007
24.218765002672104,-0.6523392929796128,London,Lambeth,E09000022,E12000007
24.400351168498567,-0.5238968155532479,London,Lewisham,E09000023,E12000007
24.40614019631918,-0.8798637151852848,London,Newham,E09000025,E12000007
24.79693891355319,-1.0910823066528306,London,Southwark,E09000028,E12000007
24.715560566939168,-0.99225536551288,London,Tower Hamlets,E09000030,E12000007
25.458444855909462,-1.4610403678281783,London,Wandsworth,E09000032,E12000007
24.643893818249744,-1.3300761520136184,London,Westminster,E09000033,E12000007
22.59741440779681,-0.746605830672222,London,Barking and Dagenham,E09000002,E12000007
24.46315424777935,-0.9426260515967331,London,Barnet,E09000003,E12000007
24.00312178346868,-0.9021690768809547,London,Bexley,E09000004,E12000007
24.753436308677223,-1.1570352064750231,London,Brent,E09000005,E12000007
24.519033931328725,-0.8204529616560425,London,Bromley,E09000006,E12000007
25.385208013933223,-1.3278598824936894,London,Croydon,E09000008,E12000007
24.946158873284602,-1.0137350027808312,London,Ealing,E09000009,E12000007
24.86178427225392,-1.043012941754662,London,Enfield,E09000010,E12000007
25.378845733022906,-1.2143295391734261,London,Greenwich,E09000011,E12000007
24.424895012046584,-0.867962293262258,London,Harrow,E09000015,E12000007
23.452703102597418,-0.8110019233808232,London,Havering,E09000016,E12000007
24.62232719928892,-0.6430104743343656,London,Hillingdon,E09000017,E12000007
24.478375428631793,-1.2531666687232847,London,Hounslow,E09000018,E12000007
22.912177591881257,-1.518892391220299,London,Kingston upon Thames,E09000021,E12000007
